,size,times
1271,101,21399.0
1272,106,18768.0
1273,103,19999.0
1274,104,19830.0
1275,105,20083.0
1276,95,21428.0
1277,97,20098.0
1278,753,8699.0
1279,103,10991.0
1280,98,20024.0
1281,95,20344.0
1282,100,19883.0
1283,102,20974.0
1284,100,19003.0
1286,66,134.0
1292,112,15409.0
1293,105,19303.0
1294,106,19713.0
1301,556,13501.0
1302,100,4940.0
1303,105,22039.0
1306,106,2561.0
1307,108,19811.0
1308,97,19975.0
1309,104,18542.0
1310,391,10550.0
1313,74,2016.0
1314,106,6080.0
1315,102,20274.0
1316,104,22206.0
1319,103,4714.0
1320,102,19882.0
1321,106,19908.0
1322,99,22080.0
1326,95,15969.0
1328,66,343.0
1329,70,305.0
1330,98,15892.0
1331,558,5822.0
1332,998,13757.0
1334,102,9084.0
1335,99,21991.0
1336,102,16677.0
1337,102,20972.0
1338,572,4813.0
1341,106,12473.0
1342,99,19831.0
1343,101,20274.0
1347,109,8638.0
1348,66,19019.0
1349,112,1326.0
1350,106,19539.0
1353,105,6690.0
1354,928,6377.0
1355,1325,12457.0
1356,99,20097.0
1358,66,371.0
1361,100,9240.0
1362,95,18286.0
1363,100,19861.0
1364,102,19751.0
1365,615,2606.0
1366,101,17679.0
1367,101,19922.0
1368,103,19851.0
1369,102,20028.0
1370,104,21510.0
1371,445,13897.0
1372,634,4865.0
1373,105,19922.0
1374,98,19849.0
1375,102,20240.0
1376,103,23017.0
1377,367,12863.0
1378,101,4095.0
1379,101,19592.0
1380,103,20598.0
1382,66,703.0
1392,107,14311.0
1393,253,18720.0
1394,992,644.0
1395,101,19626.0
1399,96,7703.0
1400,101,21738.0
1401,171,5513.0
1402,100,11908.0
1405,100,7295.0
1406,94,20926.0
1407,92,21814.0
1408,428,10152.0
1411,105,3716.0
1412,102,20242.0
1413,105,20025.0
1414,100,22449.0
1417,80,1456.0
1418,101,5303.0
1419,99,20325.0
1420,645,9623.0
1421,704,10043.0
1424,103,8518.0
1425,91,22225.0
1426,97,20617.0
1429,96,4959.0
1430,99,20567.0
1431,92,20211.0
1432,96,19389.0
1433,575,8321.0
1436,94,7763.0
1437,99,19796.0
1438,95,19892.0
1441,93,7946.0
1442,93,19887.0
1443,94,19708.0
1445,97,7230.0
1446,92,20445.0
1447,98,19398.0
1449,66,374.0
1452,96,6729.0
1453,443,15274.0
1454,627,4813.0
1455,90,22235.0
1458,95,9729.0
1459,96,19964.0
1460,95,20260.0
1462,66,686.0
1465,98,8266.0
1466,91,19697.0
1467,91,20386.0
1470,92,6893.0
1471,96,18109.0
1472,99,20298.0
1474,66,399.0
1477,642,4037.0
1478,99,1922.0
1479,96,20585.0
1480,94,19996.0
1481,90,20732.0
1485,95,7730.0
1486,89,19960.0
1487,92,20141.0
1490,91,10576.0
1491,93,17493.0
1492,90,19891.0
1493,497,9251.0
1495,96,7530.0
1496,94,22072.0
1497,91,17833.0
1501,97,4336.0
1502,93,20430.0
1503,95,20364.0
1504,96,21458.0
1507,91,13000.0
1508,610,1733.0
1509,693,18270.0
1510,106,20026.0
1513,74,948.0
1514,102,7331.0
1515,103,20147.0
1516,95,20564.0
1519,92,4931.0
1520,546,11655.0
1521,92,9076.0
1522,99,20065.0
1523,93,20124.0
1526,101,16505.0
1527,98,21663.0
1528,100,18428.0
1530,98,8477.0
1531,677,16067.0
1532,736,3886.0
1533,101,20481.0
1536,100,7135.0
1537,97,19830.0
1538,97,19874.0
1541,103,8627.0
1542,101,17403.0
1543,99,20057.0
1546,91,7225.0
1547,812,4652.0
1548,95,15563.0
1549,97,22048.0
1552,99,6954.0
1553,101,20400.0
1554,99,19779.0
1556,66,343.0
1559,101,9343.0
1560,105,20001.0
1561,101,20596.0
1564,98,5667.0
1565,98,19819.0
1566,771,8127.0
1567,104,11996.0
1569,66,534.0
1572,106,3168.0
1573,97,20033.0
1574,103,19860.0
1577,96,4429.0
1578,95,19114.0
1579,722,4096.0
1580,871,16523.0
1581,104,20163.0
1585,102,4117.0
1586,100,20328.0
1587,102,19956.0
1588,96,20491.0
1589,892,4746.0
1592,104,6618.0
1593,98,20301.0
1594,94,19829.0
1595,118,935.0
1596,98,19139.0
1599,95,7814.0
1600,99,16306.0
1601,881,8333.0
1602,952,11898.0
1605,93,7233.0
1606,101,22277.0
1607,99,17395.0
1610,96,2911.0
1611,503,6375.0
1612,98,13620.0
1613,103,22322.0
1615,66,568.0
1617,70,196.0
1619,82,150.0
1621,105,4875.0
1623,104,6350.0
1624,95,20134.0
1625,463,18563.0
1626,102,1238.0
1629,103,7237.0
1630,103,19582.0
1631,97,20295.0
1632,98,20092.0
1633,95,20957.0
1634,472,18373.0
1635,779,380.0
1636,100,20142.0
1637,96,19843.0
1638,99,23451.0
1639,99,16818.0
1641,94,6495.0
1642,567,16152.0
1643,98,3325.0
1644,100,20053.0
1645,93,19710.0
1646,95,22802.0
1647,99,20032.0
1648,97,21575.0
1655,575,12277.0
1656,949,2753.0
1657,102,19788.0
1659,105,1081.0
1666,64,2580.0
1667,111,17315.0
1668,66,8319.0
1669,98,11637.0
1671,98,94.0
1673,552,15139.0
1675,81,1673.0
1676,94,299.0
1677,95,19916.0
1679,66,430.0
1680,95,21076.0
1683,101,8296.0
1684,97,20489.0
1686,66,566.0
1687,665,1818.0
1688,105,6658.0
1691,114,7158.0
1692,107,20069.0
1693,105,22980.0
1696,101,5582.0
1697,99,19779.0
1698,998,12654.0
1699,1054,7425.0
1700,99,20118.0
1705,99,6590.0
1706,95,20888.0
1707,96,19481.0
1710,94,20.0
1711,692,7668.0
1712,103,12372.0
1713,96,22335.0
1714,100,17563.0
1717,80,2036.0
1718,103,10825.0
1719,98,19872.0
1720,97,20656.0
1721,518,4573.0
1724,753,6995.0
1725,98,19918.0
1726,95,20570.0
1728,96,1360.0
1729,100,19731.0
1730,96,17557.0
1731,362,3018.0
1732,95,17075.0
1737,95,2956.0
1738,101,23216.0
1739,97,19381.0
1740,98,20355.0
1741,396,6514.0
1744,98,2524.0
1745,93,19892.0
1746,97,20033.0
1747,97,22415.0
1751,97,5134.0
1752,103,17825.0
1753,638,3218.0
1754,1056,16342.0
1755,99,19988.0
1757,66,382.0
1760,99,10165.0
1761,100,20168.0
1762,99,18807.0
1763,727,16164.0
1766,103,1164.0
1767,92,20364.0
1768,95,22442.0
1769,101,20018.0
1771,66,572.0
1776,95,12109.0
1777,95,20130.0
1778,596,15970.0
1779,782,3548.0
1780,96,22528.0
1781,101,20056.0
1784,98,19689.0
1785,100,19585.0
1786,100,19676.0
1787,558,4370.0
1791,101,9113.0
1792,98,20092.0
1793,99,19875.0
1796,101,7212.0
1797,91,19570.0
1798,101,19960.0
1799,117,9188.0
1802,100,8293.0
1803,104,19497.0
1804,100,20154.0
1805,102,20075.0
1807,66,276.0
1811,100,15141.0
1812,641,11810.0
1813,98,4994.0
1814,108,19815.0
1817,80,822.0
1818,99,5397.0
1819,95,20503.0
1820,99,19382.0
1824,74,986.0
1825,98,4963.0
1826,98,20023.0
1827,100,20935.0
