cnt,times
1,2402.0
2,6129.0
3,2346.0
1,302.0
2,12093.0
2,3792.0
1,354.0
3,5137.0
1,71.0
7,2426.0
1,287.0
5,65.0
6,308.0
9,118.0
2,4797.0
2,8298.0
1,579.0
4,436.0
12,1217.0
1,8939.0
4,940.0
8,6045.0
1,153.0
2,7083.0
12,538.0
3,2370.0
13,71.0
7,2126.0
9,3647.0
7,8496.0
2,1488.0
1,134.0
1,6707.0
2,8484.0
1,138.0
2,5854.0
1,6896.0
1,3535.0
2,252.0
1,19646.0
1,158.0
1,3426.0
2,8946.0
2,192.0
1,6223.0
1,2592.0
2,8378.0
1,6019.0
2,3092.0
1,15912.0
1,434.0
2,6969.0
1,10807.0
2,1924.0
1,8551.0
1,1070.0
1,8138.0
1,171.0
2,7704.0
1,5779.0
3,9042.0
1,6645.0
1,373.0
1,11479.0
1,10975.0
1,6827.0
1,3086.0
1,7695.0
1,10420.0
1,7176.0
1,513.0
1,7902.0
1,8619.0
1,520.0
2,1276.0
2,1317.0
1,12847.0
1,263.0
1,6092.0
1,7099.0
1,7555.0
1,7211.0
1,7478.0
1,9024.0
1,399.0
1,16928.0
2,1474.0
1,5300.0
1,20484.0
1,559.0
2,10282.0
2,2463.0
1,4052.0
1,4568.0
2,10373.0
1,8918.0
1,547.0
1,6507.0
2,1657.0
1,254.0
1,5209.0
2,1455.0
1,490.0
2,9674.0
1,9030.0
2,7786.0
3,4681.0
1,5836.0
2,8816.0
1,1556.0
1,10519.0
1,7472.0
2,6206.0
1,8274.0
1,7913.0
1,347.0
2,7312.0
1,6253.0
1,7261.0
2,1270.0
2,11421.0
1,7656.0
2,6822.0
1,8598.0
1,5642.0
2,20423.0
1,983.0
1,8562.0
2,7784.0
1,6343.0
3,6328.0
1,8505.0
1,6404.0
2,9233.0
1,525.0
1,7836.0
2,6401.0
1,313.0
1,8113.0
1,9066.0
1,280.0
2,1196.0
1,9028.0
2,8798.0
1,8112.0
1,402.0
1,1333.0
2,3014.0
3,8039.0
1,8032.0
2,8144.0
1,9765.0
1,11884.0
2,4387.0
1,566.0
1,5458.0
2,7884.0
1,266.0
1,6276.0
2,6563.0
2,1298.0
2,11828.0
1,8971.0
2,4357.0
1,364.0
1,3551.0
3,11632.0
2,9660.0
1,5140.0
2,19159.0
2,8187.0
2,5191.0
2,8036.0
1,8566.0
1,679.0
2,5962.0
1,4743.0
2,5139.0
1,8777.0
2,1647.0
2,7869.0
1,358.0
1,8574.0
2,6019.0
2,10787.0
1,383.0
2,8998.0
2,4665.0
1,5554.0
2,7623.0
2,6452.0
1,8304.0
2,6519.0
1,424.0
7,2774.0
1,45.0
4,502.0
2,3978.0
1,2827.0
2,8922.0
2,8693.0
1,7591.0
1,379.0
2,5153.0
3,4834.0
2,10161.0
2,332.0
1,200.0
1,6231.0
3,14606.0
1,828.0
1,9130.0
2,7647.0
1,6316.0
1,8007.0
3,8402.0
1,6275.0
2,7291.0
2,5512.0
1,5261.0
2,11281.0
1,418.0
2,6553.0
1,7231.0
3,1287.0
2,11695.0
2,5635.0
2,7549.0
1,10348.0
2,6968.0
2,7985.0
