number,src,dst,size,clean_size,date,time
24792,192.168.1.133,124.123.243.15,92,42,2015-08-25,19:51:00.233210
24793,192.168.1.133,124.123.243.15,102,42,2015-08-25,19:51:00.253368
24795,192.168.1.133,124.123.243.15,106,42,2015-08-25,19:51:00.273375
24796,192.168.1.133,124.123.243.15,88,42,2015-08-25,19:51:00.296181
24797,192.168.1.133,124.123.243.15,96,42,2015-08-25,19:51:00.315447
24798,192.168.1.133,124.123.243.15,431,42,2015-08-25,19:51:00.322611
24799,192.168.1.133,124.123.243.15,96,42,2015-08-25,19:51:00.333818
24800,192.168.1.133,124.123.243.15,89,42,2015-08-25,19:51:00.353238
24801,124.123.243.15,192.168.1.133,66,66,2015-08-25,19:51:00.369919
24802,192.168.1.133,124.123.243.15,70,66,2015-08-25,19:51:00.370328
24803,192.168.1.133,124.123.243.15,98,42,2015-08-25,19:51:00.373610
24808,192.168.1.133,124.123.243.15,94,42,2015-08-25,19:51:00.394075
24809,124.123.243.15,192.168.1.133,262,42,2015-08-25,19:51:00.409132
24810,192.168.1.133,124.123.243.15,98,42,2015-08-25,19:51:00.413888
24811,192.168.1.133,124.123.243.15,364,42,2015-08-25,19:51:00.421968
24812,192.168.1.133,124.123.243.15,99,42,2015-08-25,19:51:00.433525
24820,192.168.1.133,124.123.243.15,71,42,2015-08-25,19:51:00.438789
24826,192.168.1.133,124.123.243.15,106,42,2015-08-25,19:51:00.455231
24827,192.168.1.133,124.123.243.15,109,42,2015-08-25,19:51:00.475427
24828,124.123.243.15,192.168.1.133,145,66,2015-08-25,19:51:00.482360
24829,192.168.1.133,124.123.243.15,66,66,2015-08-25,19:51:00.482684
24830,192.168.1.133,124.123.243.15,110,42,2015-08-25,19:51:00.484555
24831,124.123.243.15,192.168.1.133,125,42,2015-08-25,19:51:00.484856
24832,192.168.1.133,124.123.243.15,108,42,2015-08-25,19:51:00.494530
24833,192.168.1.133,124.123.243.15,416,42,2015-08-25,19:51:00.503505
24834,192.168.1.133,124.123.243.15,117,42,2015-08-25,19:51:00.513278
24835,192.168.1.133,124.123.243.15,102,42,2015-08-25,19:51:00.533256
24836,124.123.243.15,192.168.1.133,130,42,2015-08-25,19:51:00.547323
24837,192.168.1.133,124.123.243.15,104,42,2015-08-25,19:51:00.554839
24838,192.168.1.133,124.123.243.15,108,42,2015-08-25,19:51:00.573993
24839,192.168.1.133,124.123.243.15,101,42,2015-08-25,19:51:00.594155
24842,192.168.1.133,124.123.243.15,373,42,2015-08-25,19:51:00.600699
24843,124.123.243.15,192.168.1.133,121,42,2015-08-25,19:51:00.606963
24844,192.168.1.133,124.123.243.15,100,42,2015-08-25,19:51:00.613259
24845,192.168.1.133,124.123.243.15,100,42,2015-08-25,19:51:00.633296
24847,192.168.1.133,124.123.243.15,95,42,2015-08-25,19:51:00.653168
24848,192.168.1.133,124.123.243.15,100,42,2015-08-25,19:51:00.673740
24849,124.123.243.15,192.168.1.133,168,66,2015-08-25,19:51:00.686838
24850,192.168.1.133,124.123.243.15,66,66,2015-08-25,19:51:00.687303
24851,124.123.243.15,192.168.1.133,129,42,2015-08-25,19:51:00.687702
24852,192.168.1.133,124.123.243.15,97,42,2015-08-25,19:51:00.695775
24853,192.168.1.133,124.123.243.15,98,42,2015-08-25,19:51:00.715564
24854,192.168.1.133,124.123.243.15,418,42,2015-08-25,19:51:00.731312
24855,192.168.1.133,124.123.243.15,101,42,2015-08-25,19:51:00.735110
24857,124.123.243.15,192.168.1.133,121,42,2015-08-25,19:51:00.745189
24859,192.168.1.133,124.123.243.15,99,42,2015-08-25,19:51:00.753091
24860,192.168.1.133,124.123.243.15,100,42,2015-08-25,19:51:00.775040
24861,192.168.1.133,124.123.243.15,99,42,2015-08-25,19:51:00.795325
24864,124.123.243.15,192.168.1.133,126,42,2015-08-25,19:51:00.807968
24865,192.168.1.133,124.123.243.15,99,42,2015-08-25,19:51:00.813884
24866,192.168.1.133,124.123.243.15,101,42,2015-08-25,19:51:00.834712
24867,192.168.1.133,124.123.243.15,238,42,2015-08-25,19:51:00.838397
24868,192.168.1.133,124.123.243.15,473,42,2015-08-25,19:51:00.853378
24869,124.123.243.15,192.168.1.133,123,42,2015-08-25,19:51:00.867215
24870,192.168.1.133,124.123.243.15,100,42,2015-08-25,19:51:00.873450
24871,192.168.1.133,124.123.243.15,99,42,2015-08-25,19:51:00.893483
24873,192.168.1.133,124.123.243.15,97,42,2015-08-25,19:51:00.914435
24874,124.123.243.15,192.168.1.133,116,42,2015-08-25,19:51:00.931062
24875,192.168.1.133,124.123.243.15,100,42,2015-08-25,19:51:00.935612
24876,192.168.1.133,124.123.243.15,98,42,2015-08-25,19:51:00.953384
24877,192.168.1.133,124.123.243.15,442,42,2015-08-25,19:51:00.953875
24878,192.168.1.133,124.123.243.15,99,42,2015-08-25,19:51:00.973509
24879,124.123.243.15,192.168.1.133,85,42,2015-08-25,19:51:00.986118
24880,124.123.243.15,192.168.1.133,124,42,2015-08-25,19:51:00.986242
24881,192.168.1.133,124.123.243.15,74,42,2015-08-25,19:51:00.987122
24882,192.168.1.133,124.123.243.15,108,42,2015-08-25,19:51:00.993397
24883,192.168.1.133,124.123.243.15,101,42,2015-08-25,19:51:01.015159
24884,192.168.1.133,124.123.243.15,100,42,2015-08-25,19:51:01.035550
24885,124.123.243.15,192.168.1.133,119,42,2015-08-25,19:51:01.047893
24886,192.168.1.133,124.123.243.15,101,42,2015-08-25,19:51:01.055664
24887,192.168.1.133,124.123.243.15,334,42,2015-08-25,19:51:01.069533
24888,192.168.1.133,124.123.243.15,474,42,2015-08-25,19:51:01.073549
24889,192.168.1.133,124.123.243.15,102,42,2015-08-25,19:51:01.093456
24890,124.123.243.15,192.168.1.133,184,66,2015-08-25,19:51:01.107859
24891,192.168.1.133,124.123.243.15,66,66,2015-08-25,19:51:01.107977
24892,124.123.243.15,192.168.1.133,125,42,2015-08-25,19:51:01.112006
24893,192.168.1.133,124.123.243.15,112,42,2015-08-25,19:51:01.113597
24894,192.168.1.133,124.123.243.15,104,42,2015-08-25,19:51:01.133466
24895,192.168.1.133,124.123.243.15,104,42,2015-08-25,19:51:01.154457
