cnt,times
4,17880.0
4,3418.0
1,1110.0
3,12170.0
3,13818.0
3,13882.0
6,15110.0
3,13347.0
3,12962.0
25,8635.0
1,50.0
19,10614.0
1,36.0
24,10724.0
1,43.0
11,12409.0
1,40.0
7,15910.0
1,40.0
3,17685.0
4,15097.0
4,12200.0
4,11985.0
3,12463.0
4,13421.0
4,11360.0
3,8123.0
1,4119.0
3,12579.0
6,13217.0
4,1452.0
23,9818.0
37,483.0
1,79.0
1,22.0
21,10779.0
8,8701.0
1,43.0
38,10450.0
1,29.0
3,4711.0
55,9145.0
1,123.0
1,82.0
3,153.0
1,240.0
95,11072.0
1,37.0
1,20.0
4,12829.0
1,4618.0
3,11590.0
6,11877.0
4,12677.0
2,13461.0
3,11266.0
5,3311.0
7,488.0
5,7320.0
4,3071.0
5,3031.0
1,3443.0
4,16062.0
4,12023.0
1,1860.0
54,11038.0
1,315.0
24,21304.0
1,87.0
1,17.0
24,11510.0
1,3408.0
7,12054.0
32,9089.0
1,104.0
19,8135.0
24,10666.0
18,703.0
20,265.0
20,17953.0
2,72.0
32,628.0
10,13181.0
66,10574.0
1,27.0
1,1143.0
14,11115.0
4,12265.0
5,565.0
1,12533.0
3,14030.0
4,5524.0
1,4646.0
4,15355.0
3,16561.0
6,18558.0
1,322.0
3,769.0
1,2858.0
5,8424.0
4,12936.0
7,13979.0
1,7082.0
4,8955.0
4,1504.0
4,15256.0
5,561.0
3,10846.0
1,1447.0
3,10611.0
4,12458.0
5,11740.0
1,7301.0
3,9448.0
2,14752.0
3,12470.0
3,14537.0
5,13483.0
4,11516.0
3,6200.0
1,2493.0
3,9543.0
3,13264.0
4,17757.0
4,12321.0
4,9807.0
4,12984.0
3,9140.0
2,1700.0
3,11727.0
3,8059.0
1,2713.0
5,18595.0
4,4308.0
4,10799.0
1,2639.0
3,13192.0
5,10590.0
5,8668.0
5,2351.0
3,11078.0
5,1585.0
1,2540.0
4,1024.0
4,14903.0
5,1222.0
3,6483.0
1,2396.0
3,12413.0
5,1318.0
3,14756.0
5,9019.0
4,11117.0
4,10489.0
1,2317.0
3,9468.0
3,884.0
3,15510.0
4,5425.0
4,4481.0
3,10468.0
3,11106.0
3,7849.0
6,13429.0
4,11603.0
5,10716.0
3,6389.0
2,1221.0
4,13140.0
4,10621.0
5,7869.0
3,10469.0
5,9604.0
1,2295.0
4,2117.0
3,12531.0
4,11292.0
5,8322.0
3,12364.0
4,15791.0
4,11392.0
3,12684.0
6,1225.0
2,7809.0
1,1681.0
4,12014.0
4,4625.0
5,13331.0
4,10856.0
3,13508.0
4,10583.0
3,10494.0
1,2065.0
4,12846.0
4,7183.0
1,1961.0
4,11913.0
1,440.0
4,8880.0
5,11671.0
4,11280.0
3,9981.0
4,14112.0
1,3963.0
3,12083.0
5,11766.0
4,11031.0
3,11735.0
5,7892.0
3,8330.0
4,15486.0
3,12362.0
1,2066.0
5,12116.0
3,376.0
2,12353.0
5,13494.0
4,11912.0
4,6083.0
5,11145.0
3,15859.0
4,13127.0
1,2958.0
5,322.0
4,12100.0
4,2126.0
5,721.0
3,11999.0
4,12361.0
3,14615.0
3,11750.0
4,8997.0
1,2030.0
4,15115.0
3,12190.0
5,12159.0
4,13768.0
4,10516.0
3,10252.0
1,1392.0
4,14187.0
4,9559.0
3,7655.0
1,2745.0
4,14936.0
3,14891.0
4,12182.0
4,4219.0
3,11810.0
4,7337.0
22,13114.0
2,1245.0
4,20400.0
1,85.0
4,17479.0
4,17190.0
4,11187.0
5,178.0
3,14797.0
4,5097.0
1,2724.0
5,829.0
4,8547.0
5,4162.0
2,8588.0
4,14026.0
5,5123.0
3,19000.0
1,430.0
4,12827.0
2,10474.0
3,11730.0
3,7800.0
5,14762.0
3,12809.0
4,14633.0
3,14077.0
